Country or Area,Year,Sex,Reliability,Total,Urban,Urban Rate
Cyprus,2022,Both Sexes,"Final figure, incomplete/questionable reliability",904705.0,,
Czechia,2016,Both Sexes,"Final figure, complete",10559563.5,7744759.0,0.7334355250574515
Czechia,2017,Both Sexes,"Final figure, complete",10584173.0,7736890.0,0.7309867289584174
Czechia,2018,Both Sexes,"Final figure, complete",10618242.5,7759897.0,0.7308080409728823
Czechia,2019,Both Sexes,"Final figure, complete",10659562.0,7478446.0,0.7015716030358471
Czechia,2020,Both Sexes,"Final figure, complete",10697047.0,7192279.0,0.6723611665911162
Czechia,2021,Both Sexes,"Final figure, complete",10612972.0,7187163.0,0.6772054990816898
Czechia,2022,Both Sexes,"Final figure, complete",10516707.0,6997606.0,0.665379952108583
Côte d'Ivoire,2016,Both Sexes,"Final figure, incomplete/questionable reliability",23950475.0,12262643.0,0.5119999916494349
Côte d'Ivoire,2017,Both Sexes,"Final figure, incomplete/questionable reliability",24571044.0,12678659.0,0.5160000120467002
Côte d'Ivoire,2018,Both Sexes,"Final figure, incomplete/questionable reliability",25194402.0,13126283.0,0.5209999824564203
Côte d'Ivoire,2019,Both Sexes,"Final figure, incomplete/questionable reliability",25821956.0,13556527.0,0.5250000038726733
Côte d'Ivoire,2020,Both Sexes,"Final figure, incomplete/questionable reliability",26453542.0,14019840.0,0.5299796904323815
Côte d'Ivoire,2021,Both Sexes,"Final figure, complete",29389150.0,15428957.0,0.524988201428078
Côte d'Ivoire,2021,Both Sexes,"Final figure, incomplete/questionable reliability",27087732.0,,
Democratic Republic of the Congo,2016,Both Sexes,Provisional figure with questionable reliability,89216000.0,,
Democratic Republic of the Congo,2017,Both Sexes,Provisional figure with questionable reliability,91984000.0,,
Democratic Republic of the Congo,2018,Both Sexes,Provisional figure with questionable reliability,95132000.0,,
Democratic Republic of the Congo,2019,Both Sexes,Provisional figure with questionable reliability,98387000.0,,
Democratic Republic of the Congo,2020,Both Sexes,Provisional figure with questionable reliability,101757000.0,,
Democratic Republic of the Congo,2021,Both Sexes,Provisional figure with questionable reliability,105247000.0,,
Denmark,2016,Both Sexes,"Final figure, complete",5724456.0,,
Denmark,2017,Both Sexes,"Final figure, complete",5760694.0,,
Denmark,2018,Both Sexes,"Final figure, complete",5785573.5,,
Denmark,2019,Both Sexes,"Final figure, complete",5810271.0,,
Denmark,2020,Both Sexes,"Final figure, complete",5824050.0,,
Denmark,2021,Both Sexes,"Final figure, complete",5845117.0,,
Denmark,2022,Both Sexes,"Final figure, complete",5873420.0,,
Djibouti,2016,Both Sexes,"Final figure, incomplete/questionable reliability",933448.0,,
Djibouti,2017,Both Sexes,"Final figure, incomplete/questionable reliability",948249.0,,
Djibouti,2018,Both Sexes,"Final figure, incomplete/questionable reliability",962452.0,,
Djibouti,2019,Both Sexes,"Final figure, incomplete/questionable reliability",976107.0,,
Djibouti,2020,Both Sexes,"Final figure, incomplete/questionable reliability",989115.0,,
Djibouti,2021,Both Sexes,"Final figure, incomplete/questionable reliability",1001454.0,,
Dominica,2016,Both Sexes,"Final figure, complete",71379.0,,
Dominica,2017,Both Sexes,Provisional figure,67408.0,,
Dominican Republic,2016,Both Sexes,"Final figure, incomplete/questionable reliability",10075045.0,8011084.0,0.7951412623963466
Dominican Republic,2017,Both Sexes,"Final figure, incomplete/questionable reliability",10169172.0,8163504.0,0.8027697830265828
Dominican Republic,2018,Both Sexes,"Final figure, incomplete/questionable reliability",10266149.0,8314335.0,0.8098786604402488
Dominican Republic,2019,Both Sexes,"Final figure, incomplete/questionable reliability",10358320.0,8457450.0,0.8164885811598792
Dominican Republic,2020,Both Sexes,"Final figure, incomplete/questionable reliability",10448499.0,8595163.0,0.8226217947668847
Dominican Republic,2021,Both Sexes,"Final figure, incomplete/questionable reliability",10535535.0,8726602.0,0.8283017426262643
Dominican Republic,2022,Both Sexes,"Final figure, incomplete/questionable reliability",10621938.0,8853942.0,0.8335524082328479
Dominican Republic,2022,Both Sexes,Provisional figure,10760028.0,,
Ecuador,2016,Both Sexes,"Final figure, incomplete/questionable reliability",16491557.5,,
Ecuador,2017,Both Sexes,"Final figure, incomplete/questionable reliability",16755550.5,,
Ecuador,2018,Both Sexes,"Final figure, incomplete/questionable reliability",17078265.5,,
Ecuador,2019,Both Sexes,"Final figure, incomplete/questionable reliability",17408829.0,,
Ecuador,2020,Both Sexes,"Final figure, incomplete/questionable reliability",17654671.5,,
Ecuador,2021,Both Sexes,"Final figure, incomplete/questionable reliability",17867689.5,,
Ecuador,2022,Both Sexes,"Final figure, incomplete/questionable reliability",18092047.0,,
Egypt,2016,Both Sexes,"Final figure, incomplete/questionable reliability",92736988.0,39598698.0,0.42700004446985057
Egypt,2017,Both Sexes,"Final figure, complete",94798827.0,40240407.0,0.42448211938318603
Egypt,2017,Both Sexes,"Final figure, incomplete/questionable reliability",95202532.0,40432110.0,0.4246957423359286
Egypt,2018,Both Sexes,"Final figure, incomplete/questionable reliability",97147368.0,41398653.0,0.4261428163447516
Egypt,2019,Both Sexes,"Final figure, incomplete/questionable reliability",98901934.0,42283615.0,0.42753071947005605
Egypt,2020,Both Sexes,"Final figure, incomplete/questionable reliability",100617206.0,43132435.0,0.4286785204510648
Egypt,2021,Both Sexes,"Final figure, incomplete/questionable reliability",102060688.0,43795891.0,0.42911616468820984
Egypt,2022,Both Sexes,"Final figure, incomplete/questionable reliability",103605039.0,44467122.0,0.4291984485426428
El Salvador,2016,Both Sexes,"Final figure, complete",6278901.0,4590491.0,0.7310978465817506
El Salvador,2017,Both Sexes,"Final figure, complete",6293594.0,4678816.0,0.7434251399121075
El Salvador,2018,Both Sexes,"Final figure, complete",6305496.0,4767123.0,0.7560266472296548
El Salvador,2019,Both Sexes,"Final figure, complete",6314755.0,4855320.0,0.7688849369452971
El Salvador,2020,Both Sexes,"Final figure, complete",6321042.0,4942858.0,0.7819688589318027
El Salvador,2021,Both Sexes,"Final figure, complete",6325827.0,5029612.0,0.7950916141083213
El Salvador,2022,Both Sexes,"Final figure, complete",6330947.0,,
Equatorial Guinea,2016,Both Sexes,"Final figure, incomplete/questionable reliability",1268165.04175135,856092.999243114,0.6750643418311232
Equatorial Guinea,2017,Both Sexes,"Final figure, incomplete/questionable reliability",1312447.16778607,885986.283509629,0.6750643418311262
Equatorial Guinea,2018,Both Sexes,"Final figure, incomplete/questionable reliability",1358275.5489387,916923.389469614,0.6750643418311254
Equatorial Guinea,2019,Both Sexes,"Final figure, incomplete/questionable reliability",1405704.17775891,948940.765568081,0.6750643418311248
Equatorial Guinea,2020,Both Sexes,"Final figure, incomplete/questionable reliability",1454788.93212266,982076.132966587,0.6750643418311238
Equatorial Guinea,2021,Both Sexes,"Final figure, incomplete/questionable reliability",1505587.64106452,1016368.5299843,0.6750643418311275
Equatorial Guinea,2022,Both Sexes,"Final figure, incomplete/questionable reliability",1558160.15290878,1051858.35809085,0.6750643418311246
Eritrea,2016,Both Sexes,"Final figure, incomplete/questionable reliability",3131147.54995572,1112353.62576799,0.3552542983110843
Eritrea,2017,Both Sexes,"Final figure, incomplete/questionable reliability",3211945.86528556,1138400.68806045,0.3544271092374839
Eritrea,2018,Both Sexes,"Final figure, incomplete/questionable reliability",3294679.87368334,1164507.9388965,0.3534510130098375
Eritrea,2019,Both Sexes,"Final figure, incomplete/questionable reliability",3379039.01330643,1190612.20083088,0.3523523096780856
Eritrea,2020,Both Sexes,"Final figure, incomplete/questionable reliability",3464587.71742176,1216629.56045628,0.35116142516422083
Eritrea,2021,Both Sexes,"Final figure, incomplete/questionable reliability",3551521.19387128,1242574.76111893,0.34987113782769824
Eritrea,2022,Both Sexes,"Final figure, incomplete/questionable reliability",3640199.33824241,1268497.67142134,0.34846928795767707
Estonia,2016,Both Sexes,"Final figure, complete",1315866.75,900757.5,0.6845354972302476
Estonia,2017,Both Sexes,"Final figure, complete",1316509.5,905720.0,0.6879707286578638
Estonia,2018,Both Sexes,"Final figure, complete",1320554.75,916045.0,0.6936819544967749
Estonia,2019,Both Sexes,"Final figure, complete",1325859.0,920381.0,0.6941771334659266
Estonia,2020,Both Sexes,"Final figure, complete",1329101.75,922591.25,0.6941464413841905
Estonia,2021,Both Sexes,"Final figure, complete",1330651.5,929556.5,0.6985724661941913
Estonia,2022,Both Sexes,"Final figure, complete",1331796.0,,
Eswatini,2016,Both Sexes,"Final figure, incomplete/questionable reliability",1132657.0,266230.0,0.23504909253198453
Eswatini,2017,Both Sexes,"Final figure, complete",1093238.0,259766.0,0.23761157222855409
Eswatini,2017,Both Sexes,"Final figure, incomplete/questionable reliability",1145970.0,271573.0,0.23698089827831445
Eswatini,2018,Both Sexes,"Final figure, incomplete/questionable reliability",1159250.0,277042.0,0.23898382574940694
Eswatini,2019,Both Sexes,"Final figure, incomplete/questionable reliability",1172433.0,282622.0,0.24105599211212922
Eswatini,2020,Both Sexes,"Final figure, incomplete/questionable reliability",1185449.0,288297.0,0.2431964597380402
Ethiopia,2016,Both Sexes,"Final figure, incomplete/questionable reliability",92205000.0,18327000.0,0.19876362453229218
Ethiopia,2017,Both Sexes,"Final figure, incomplete/questionable reliability",94352138.0,19161490.0,0.20308485219487024
Ethiopia,2018,Both Sexes,"Final figure, incomplete/questionable reliability",96503000.0,20057000.0,0.20783809829746225
Ethiopia,2019,Both Sexes,"Final figure, incomplete/questionable reliability",98665000.0,20965000.0,0.21248669741042922
Ethiopia,2020,Both Sexes,"Final figure, incomplete/questionable reliability",100696744.0,21776682.5,0.21626004610437055
Ethiopia,2021,Both Sexes,"Final figure, incomplete/questionable reliability",102862370.0,22739483.5,0.22106707729950223
Ethiopia,2022,Both Sexes,"Final figure, incomplete/questionable reliability",105028118.0,23880000.0,0.22736768452806133
Falkland Islands (Malvinas),2016,Both Sexes,"Final figure, complete",3277.0,,
Faroe Islands,2016,Both Sexes,"Final figure, complete",49465.0,18955.0,0.3832002425957748
Faroe Islands,2017,Both Sexes,"Final figure, complete",50182.0,19236.0,0.38332469809891995
Faroe Islands,2018,Both Sexes,"Final figure, complete",51000.0,19587.0,0.3840588235294118
Faroe Islands,2019,Both Sexes,"Final figure, complete",51799.0,19888.0,0.3839456360161393
Faroe Islands,2020,Both Sexes,"Final figure, complete",52577.0,20331.0,0.38668999752743594
Faroe Islands,2021,Both Sexes,"Final figure, complete",53339.0,20700.0,0.3880837660998519
Faroe Islands,2022,Both Sexes,"Final figure, complete",54007.0,21060.0,0.389949450997093
Fiji,2016,Both Sexes,"Final figure, complete",870984.0,,
Fiji,2017,Both Sexes,"Final figure, complete",884887.0,494252.0,0.5585481536060537
Fiji,2018,Both Sexes,"Final figure, complete",887104.0,,
Fiji,2019,Both Sexes,"Final figure, complete",889327.0,,
Fiji,2020,Both Sexes,"Final figure, complete",891445.0,,
Fiji,2021,Both Sexes,"Final figure, complete",893468.0,,
Fiji,2022,Both Sexes,"Final figure, complete",895416.0,,
Finland,2016,Both Sexes,"Final figure, complete",5476756.0,3880554.5,0.7085498240199125
Finland,2017,Both Sexes,"Final figure, complete",5491079.5,3904835.0,0.7111233774706777
Finland,2018,Both Sexes,"Final figure, complete",5499507.75,3926163.5,0.7139118041973848
Finland,2019,Both Sexes,"Final figure, complete",5504844.0,3947871.0,0.7171631021696527
Finland,2020,Both Sexes,"Final figure, complete",5525292.0,,
Finland,2021,Both Sexes,"Final figure, complete",5533793.0,3990151.0,0.7210517270884546
Finland,2022,Both Sexes,"Final figure, complete",5548241.0,,
France,2016,Both Sexes,"Final figure, complete",64553963.0,,
France,2017,Both Sexes,"Final figure, complete",64741585.0,,
France,2018,Both Sexes,"Final figure, complete",64970403.0,,
France,2019,Both Sexes,"Final figure, complete",64821954.0,,
France,2020,Both Sexes,"Final figure, complete",65123843.0,,
France,2021,Both Sexes,"Final figure, complete",65447454.0,,
French Guiana,2016,Both Sexes,"Final figure, complete",265776.5,,
French Guiana,2017,Both Sexes,"Final figure, complete",273283.5,,
French Guiana,2018,Both Sexes,"Final figure, complete",280257.5,,
French Guiana,2019,Both Sexes,"Final figure, complete",283472.5,,
French Guiana,2020,Both Sexes,"Final figure, complete",288086.0,,
French Guiana,2021,Both Sexes,"Final figure, complete",290528.0,,
French Guiana,2022,Both Sexes,Provisional figure,297318.5,,
French Polynesia,2016,Both Sexes,"Final figure, complete",274570.545030203,,
French Polynesia,2017,Both Sexes,"Final figure, complete",277804.608365367,,
French Polynesia,2018,Both Sexes,"Final figure, complete",276865.855299286,,
French Polynesia,2019,Both Sexes,"Final figure, complete",277939.658704009,,
French Polynesia,2020,Both Sexes,"Final figure, complete",278889.672981878,,
French Polynesia,2021,Both Sexes,"Final figure, complete",279448.482976387,,
Gambia,2016,Both Sexes,"Final figure, incomplete/questionable reliability",2020414.0,,
Gambia,2017,Both Sexes,"Final figure, incomplete/questionable reliability",2083429.0,,
Gambia,2018,Both Sexes,"Final figure, incomplete/questionable reliability",2147677.0,,
Gambia,2019,Both Sexes,"Final figure, incomplete/questionable reliability",2213134.0,,
Georgia,2016,Both Sexes,"Final figure, complete",3727505.0,,
Georgia,2017,Both Sexes,"Final figure, complete",3728003.5,,
Georgia,2018,Both Sexes,"Final figure, complete",3726548.5,,
Georgia,2019,Both Sexes,"Final figure, complete",3720161.0,,
Georgia,2020,Both Sexes,"Final figure, complete",3722715.5,,
Georgia,2021,Both Sexes,"Final figure, complete",3718591.5,,
Georgia,2022,Both Sexes,"Final figure, complete",3688647.0,,
Germany,2016,Both Sexes,"Final figure, complete",82262176.25,,
Germany,2017,Both Sexes,"Final figure, complete",82589327.5,,
Germany,2018,Both Sexes,"Final figure, complete",82849066.5,,
Germany,2019,Both Sexes,"Final figure, complete",83056087.5,,
Germany,2020,Both Sexes,"Final figure, complete",83163791.0,,
Germany,2021,Both Sexes,"Final figure, complete",83155031.0,,
Germany,2022,Both Sexes,"Final figure, complete",83237124.0,,
Ghana,2016,Both Sexes,"Final figure, incomplete/questionable reliability",28308301.0,,
Ghana,2017,Both Sexes,"Final figure, incomplete/questionable reliability",28956587.0,,
Ghana,2018,Both Sexes,"Final figure, incomplete/questionable reliability",29614337.0,,
Ghana,2019,Both Sexes,"Final figure, incomplete/questionable reliability",30280811.0,,
Ghana,2020,Both Sexes,"Final figure, incomplete/questionable reliability",30955202.0,,
Gibraltar,2016,Both Sexes,"Final figure, complete",34003.0,,
Greece,2016,Both Sexes,"Final figure, complete",10779868.5,,
Greece,2017,Both Sexes,"Final figure, complete",10764820.0,,
Greece,2018,Both Sexes,"Final figure, complete",10737031.5,,
Greece,2019,Both Sexes,"Final figure, complete",10723074.5,,
Greece,2020,Both Sexes,"Final figure, complete",10708577.0,,
Greece,2021,Both Sexes,"Final figure, complete",10678632.0,,
Greece,2022,Both Sexes,"Final figure, complete",10459782.0,,
Greenland,2016,Both Sexes,"Final figure, complete",56186.0,48447.0,0.8622610614743886
Greenland,2017,Both Sexes,"Final figure, complete",56171.0,48527.0,0.8639155436079116
Greenland,2018,Both Sexes,"Final figure, complete",56023.0,48586.0,0.8672509505024723
Greenland,2019,Both Sexes,"Final figure, complete",56225.0,48928.0,0.8702178746109382
Greenland,2020,Both Sexes,"Final figure, complete",56224.0,,
Greenland,2021,Both Sexes,"Final figure, complete",56653.0,,
Grenada,2016,Both Sexes,"Final figure, complete",110910.0,,
Grenada,2017,Both Sexes,"Final figure, complete",111467.0,,
Grenada,2018,Both Sexes,"Final figure, complete",111959.0,,
Grenada,2019,Both Sexes,"Final figure, complete",112579.0,,
Guadeloupe,2016,Both Sexes,"Final figure, complete",411015.5,,
Guadeloupe,2017,Both Sexes,"Final figure, complete",409013.0,,
Guadeloupe,2018,Both Sexes,"Final figure, complete",404112.0,,
Guadeloupe,2019,Both Sexes,"Final figure, complete",400186.5,,
Guadeloupe,2020,Both Sexes,"Final figure, complete",412682.0,,
Guadeloupe,2021,Both Sexes,"Final figure, complete",408142.0,,
Guadeloupe,2022,Both Sexes,"Final figure, complete",377161.0,,
Guam,2016,Both Sexes,"Final figure, complete",162742.0,,
Guam,2017,Both Sexes,"Final figure, complete",163875.0,,
Guam,2018,Both Sexes,"Final figure, complete",167772.0,,
Guam,2019,Both Sexes,"Final figure, complete",168147.0,,
Guam,2020,Both Sexes,"Final figure, complete",161160.5,,
Guam,2021,Both Sexes,"Final figure, complete",168801.0,,
Guatemala,2016,Both Sexes,"Final figure, complete",15827690.0,,
Guatemala,2017,Both Sexes,"Final figure, complete",16087418.0,,
Guatemala,2018,Both Sexes,"Final figure, complete",15624118.0,8024508.0,0.5135975035518805
Guatemala,2019,Both Sexes,"Final figure, complete",16604026.0,,
Guatemala,2020,Both Sexes,"Final figure, complete",16858333.0,,
Guatemala,2021,Both Sexes,"Final figure, complete",17109746.0,,
Guatemala,2022,Both Sexes,"Final figure, complete",17357886.0,,
Guernsey,2016,Both Sexes,"Final figure, complete",62208.0,,
Guernsey,2017,Both Sexes,"Final figure, complete",62106.0,,
Guernsey,2018,Both Sexes,"Final figure, complete",62290.0,,
Guernsey,2019,Both Sexes,"Final figure, complete",62681.0,,
Guernsey,2020,Both Sexes,"Final figure, complete",62935.0,,
Guernsey,2021,Both Sexes,"Final figure, complete",63301.0,,
Guernsey,2022,Both Sexes,"Final figure, complete",63711.0,,
Guinea,2016,Both Sexes,"Final figure, incomplete/questionable reliability",11233038.0,3966389.0,0.3531002921916582
Guinea,2017,Both Sexes,"Final figure, incomplete/questionable reliability",11555062.0,4111607.0,0.3558273421639797
Guinea,2018,Both Sexes,"Final figure, incomplete/questionable reliability",11883517.0,4260887.0,0.3585543740964901
Guinea,2019,Both Sexes,"Final figure, incomplete/questionable reliability",12218357.0,4414267.0,0.36128155364915265
Guinea,2020,Both Sexes,"Final figure, incomplete/questionable reliability",12559623.0,4571811.0,0.3640086171376322
Guinea,2021,Both Sexes,"Final figure, incomplete/questionable reliability",12907399.0,,
Guinea,2022,Both Sexes,"Final figure, incomplete/questionable reliability",13261639.0,,
Guinea-Bissau,2016,Both Sexes,"Final figure, incomplete/questionable reliability",1547777.0,659138.0,0.4258610898081571
Guinea-Bissau,2017,Both Sexes,"Final figure, incomplete/questionable reliability",1565842.0,673556.0,0.4301557883873341
Guinea-Bissau,2018,Both Sexes,"Final figure, incomplete/questionable reliability",1584791.0,688511.0,0.43444908508440544
Guinea-Bissau,2019,Both Sexes,"Final figure, incomplete/questionable reliability",1604561.0,703994.0,0.43874555096378387
Guinea-Bissau,2020,Both Sexes,"Final figure, incomplete/questionable reliability",1624979.0,719928.0,0.44303834080317345
Guinea-Bissau,2021,Both Sexes,"Final figure, incomplete/questionable reliability",1646114.0,736363.0,0.4473341457517523
Guinea-Bissau,2022,Both Sexes,"Final figure, incomplete/questionable reliability",1667909.0,753273.0,0.4516271571170849
Guyana,2016,Both Sexes,"Final figure, complete",743458.0,,
Guyana,2017,Both Sexes,"Final figure, complete",760808.0,,
Guyana,2018,Both Sexes,"Final figure, complete",763899.0,,
Guyana,2019,Both Sexes,"Final figure, complete",766986.0,,
Guyana,2020,Both Sexes,"Final figure, complete",770026.0,,
Haiti,2016,Both Sexes,"Final figure, incomplete/questionable reliability",11078033.0,,
Haiti,2017,Both Sexes,"Final figure, incomplete/questionable reliability",11244774.0,,
Haiti,2018,Both Sexes,"Final figure, incomplete/questionable reliability",11411527.0,,
Haiti,2019,Both Sexes,"Final figure, incomplete/questionable reliability",11577779.0,,
Honduras,2016,Both Sexes,"Final figure, incomplete/questionable reliability",8721014.0,4720178.0,0.5412418785246761
Honduras,2017,Both Sexes,"Final figure, incomplete/questionable reliability",8866351.0,4818912.0,0.543505665408464
Honduras,2018,Both Sexes,"Final figure, incomplete/questionable reliability",9012229.0,4918132.0,0.5457176021603535
Honduras,2019,Both Sexes,"Final figure, incomplete/questionable reliability",9158345.0,5017687.0,0.5478814130719033
Honduras,2020,Both Sexes,"Final figure, incomplete/questionable reliability",9304380.0,5117430.0,0.5500022570015413
Honduras,2021,Both Sexes,"Final figure, incomplete/questionable reliability",9450711.0,5217398.0,0.5520640722163656
Hungary,2016,Both Sexes,"Final figure, complete",9822254.0,6916273.5,0.7041432139710498
Hungary,2017,Both Sexes,"Final figure, complete",9792763.5,6896039.0,0.7041974413044898
Hungary,2018,Both Sexes,"Final figure, complete",9776967.25,6888955.0,0.7046106245267416
Hungary,2019,Both Sexes,"Final figure, complete",9771948.5,6884406.5,0.7045070386934602
Hungary,2020,Both Sexes,"Final figure, complete",9759837.5,6853548.5,0.7022195297821301
Hungary,2021,Both Sexes,"Final figure, complete",9730772.0,,
Hungary,2022,Both Sexes,"Final figure, complete",9689010.0,6790225.0,0.7008172145554603
Iceland,2016,Both Sexes,"Final figure, complete",333984.0,314122.5,0.9405315823512503
Iceland,2017,Both Sexes,"Final figure, complete",340874.25,321287.5,0.942539660886676
Iceland,2018,Both Sexes,"Final figure, complete",350585.25,329827.5,0.9407911485152327
Iceland,2019,Both Sexes,"Final figure, complete",358777.0,338981.0,0.9448236648391619
Iceland,2020,Both Sexes,"Final figure, complete",365298.5,,
Iceland,2021,Both Sexes,"Final figure, complete",368792.0,,
Iceland,2022,Both Sexes,"Final figure, complete",376248.0,,
India,2016,Both Sexes,"Final figure, incomplete/questionable reliability",1295834000.0,426515000.0,0.32914323902598636
India,2017,Both Sexes,"Final figure, incomplete/questionable reliability",1310222000.0,435550000.0,0.33242458148313797
India,2018,Both Sexes,"Final figure, incomplete/questionable reliability",1324609000.0,444651000.0,0.33568471903784436
India,2019,Both Sexes,"Final figure, incomplete/questionable reliability",1338995000.0,453814000.0,0.3389213551955011
India,2020,Both Sexes,"Final figure, incomplete/questionable reliability",1353378000.0,463049000.0,0.34214314108844684
India,2021,Both Sexes,"Final figure, incomplete/questionable reliability",1367173000.0,472135000.0,0.3453366911137069
Indonesia,2016,Both Sexes,"Final figure, incomplete/questionable reliability",258496505.0,139103578.0,0.5381255657595835
Indonesia,2017,Both Sexes,"Final figure, incomplete/questionable reliability",261355475.0,142318766.0,0.5445409781448045
Indonesia,2018,Both Sexes,"Final figure, incomplete/questionable reliability",264161642.0,145541658.0,0.5509568190827645
Indonesia,2019,Both Sexes,"Final figure, incomplete/questionable reliability",266911905.0,148771903.0,0.5573820433374824
Indonesia,2020,Both Sexes,"Final figure, complete",270203917.0,,
Indonesia,2020,Both Sexes,"Final figure, incomplete/questionable reliability",269566470.0,148730030.0,0.5517378700696715
Indonesia,2021,Both Sexes,"Final figure, incomplete/questionable reliability",272682515.0,151955270.0,0.5572607763281044
Indonesia,2022,Both Sexes,"Final figure, incomplete/questionable reliability",275773774.0,155480767.0,0.5637982348531808
Iran (Islamic Republic of),2016,Both Sexes,"Final figure, complete",79926270.0,59146847.0,0.7400176062263384
Iran (Islamic Republic of),2016,Both Sexes,"Final figure, incomplete/questionable reliability",80038166.0,59226231.0,0.7399748639917612
Iran (Islamic Republic of),2017,Both Sexes,"Final figure, incomplete/questionable reliability",81053046.0,60304428.0,0.7440118660068618
Iran (Islamic Republic of),2018,Both Sexes,"Final figure, incomplete/questionable reliability",81962282.0,61310596.0,0.7480342726426285
Iran (Islamic Republic of),2019,Both Sexes,"Final figure, incomplete/questionable reliability",82710330.0,62201382.0,0.7520388565732963
Iran (Islamic Republic of),2020,Both Sexes,"Final figure, incomplete/questionable reliability",83408910.0,63056002.0,0.75598640480975
Iran (Islamic Republic of),2021,Both Sexes,"Final figure, incomplete/questionable reliability",84055113.0,63875697.0,0.7599263711655471
Iran (Islamic Republic of),2022,Both Sexes,"Final figure, incomplete/questionable reliability",84700076.0,64655142.0,0.7633421958204618
Iraq,2018,Both Sexes,"Final figure, incomplete/questionable reliability",37842275.0,,
Iraq,2019,Both Sexes,"Final figure, incomplete/questionable reliability",38836325.5568401,27134294.4735537,0.6986833611187152
Iraq,2020,Both Sexes,"Final figure, incomplete/questionable reliability",39854432.2921664,27845622.2375721,0.6986831987328372
Ireland,2016,Both Sexes,"Final figure, complete",4745770.625,2967748.0,0.6253458572916174
Ireland,2017,Both Sexes,"Final figure, complete",4794752.833333333,,
Ireland,2018,Both Sexes,"Final figure, complete",4851574.333333333,,
Ireland,2019,Both Sexes,"Final figure, complete",4920025.333333333,,
Ireland,2020,Both Sexes,"Final figure, complete",4964440.0,,
Ireland,2021,Both Sexes,"Final figure, complete",5006324.0,,
Ireland,2022,Both Sexes,"Final figure, complete",5060004.0,,
Isle of Man,2016,Both Sexes,"Final figure, complete",80937.0,,
Isle of Man,2017,Both Sexes,"Final figure, complete",83314.0,,
Isle of Man,2018,Both Sexes,"Final figure, complete",83314.0,,
Isle of Man,2019,Both Sexes,"Final figure, complete",83314.0,,
Isle of Man,2020,Both Sexes,"Final figure, complete",83314.0,,
Isle of Man,2021,Both Sexes,"Final figure, complete",83691.5,,
Isle of Man,2022,Both Sexes,"Final figure, complete",84069.0,,
Israel,2016,Both Sexes,"Final figure, complete",8546009.0,7795761.0,0.9122107173067568
Israel,2017,Both Sexes,"Final figure, complete",8713268.0,7950920.0,0.912507224614232
Israel,2018,Both Sexes,"Final figure, complete",8882764.0,8114294.0,0.9134875135712263
Israel,2019,Both Sexes,"Final figure, complete",9054026.0,8282926.0,0.914833467454147
Israel,2020,Both Sexes,"Final figure, complete",9215117.0,8441522.0,0.9160515270723095
Israel,2021,Both Sexes,"Final figure, complete",9371368.0,8587123.0,0.9163147792296706
Italy,2016,Both Sexes,"Final figure, complete",60646524.5,,
Italy,2017,Both Sexes,"Final figure, complete",60563077.0,,
Italy,2018,Both Sexes,"Final figure, complete",60317148.0,,
Italy,2019,Both Sexes,"Final figure, complete",59729080.5,,
Italy,2020,Both Sexes,"Final figure, complete",59540169.25,,
Italy,2021,Both Sexes,"Final figure, complete",59184693.0,,
Italy,2022,Both Sexes,"Final figure, complete",59030133.0,,
Jamaica,2016,Both Sexes,"Final figure, complete",2728151.0,,
Jamaica,2017,Both Sexes,"Final figure, complete",2728915.0,,
Jamaica,2018,Both Sexes,"Final figure, complete",2728432.0,,
Jamaica,2019,Both Sexes,"Final figure, complete",2732539.0,,
Japan,2016,Both Sexes,"Final figure, complete",127076000.0,,
Japan,2017,Both Sexes,"Final figure, complete",126972000.0,,
Japan,2018,Both Sexes,"Final figure, complete",126811000.0,,
Japan,2019,Both Sexes,"Final figure, complete",126633000.0,,
Japan,2020,Both Sexes,"Final figure, complete",126203549.5,88285927.0,0.6995518537297558
Japan,2021,Both Sexes,"Final figure, complete",125682000.0,,
Japan,2022,Both Sexes,"Final figure, complete",125125000.0,,
Jersey,2016,Both Sexes,"Final figure, complete",102704.0,,
Jersey,2017,Both Sexes,"Final figure, complete",104190.0,,
Jersey,2018,Both Sexes,"Final figure, complete",105598.0,,
Jersey,2019,Both Sexes,"Final figure, complete",106800.0,,
Jersey,2020,Both Sexes,Provisional figure,107796.0,,
Jersey,2021,Both Sexes,"Final figure, complete",103267.0,,
Jordan,2016,Both Sexes,"Final figure, incomplete/questionable reliability",9798000.0,8852000.0,0.9034496836088998
Jordan,2017,Both Sexes,"Final figure, incomplete/questionable reliability",10053000.0,9082000.0,0.9034119168407441
Jordan,2018,Both Sexes,"Final figure, incomplete/questionable reliability",10309000.0,9313600.0,0.9034435929770104
Jordan,2019,Both Sexes,"Final figure, incomplete/questionable reliability",10554000.0,9529200.0,0.9028993746446845
Jordan,2020,Both Sexes,"Final figure, incomplete/questionable reliability",10806000.0,9756700.0,0.9028965389598371
Jordan,2021,Both Sexes,"Final figure, incomplete/questionable reliability",11057000.0,9983300.0,0.9028940942389436
Jordan,2022,Both Sexes,"Final figure, incomplete/questionable reliability",11302000.0,10204300.0,0.9028755972394267
Kazakhstan,2016,Both Sexes,"Final figure, complete",17794055.0,10142840.0,0.5700128497973059
Kazakhstan,2017,Both Sexes,"Final figure, complete",18037776.0,10336836.0,0.5730659921710969
